"objective","budget","package.deaths","package.che.10","package.che.25","package.deaths.LB","package.che.10.LB","package.deaths.UB","package.che.10.UB","package.deaths.npv","package.E","package.E.LB","package.E.UB"
"delta.deaths.LB",11421052.6315789,3235,0.0128969137258272,0.00741935849459713,2088,0.0105914739915993,4516,0.0153012846896934,3031,0.0860599472181056,-0.339460099816958,0.256348239175668
"che.10.LB",11421052.6315789,2635,0.015925733523558,0.00921746237972023,1625,0.0132381459860816,3622,0.0188010985475711,2552,0.0697623176426904,-0.258174157266994,0.234256971521602
"delta.deaths.UB",11421052.6315789,3235,0.0128969137258272,0.00741935849459713,2088,0.0105914739915993,4516,0.0153012846896934,3031,0.0860599472181056,-0.339460099816958,0.256348239175668
"che.10.UB",11421052.6315789,2635,0.015925733523558,0.00921746237972023,1625,0.0132381459860816,3622,0.0188010985475711,2552,0.0697623176426904,-0.258174157266994,0.234256971521602
"delta.deaths.npv",11421052.6315789,3156,0.0129524115034871,0.00741938880312531,1942,0.0106368315105667,4419,0.0153682904462246,3105,-0.00762099737219024,-0.408969093007078,0.343273359251297
"E",11421052.6315789,2225,0.010305201552124,0.00526624503089565,1350,0.00866287468759479,3096,0.0120575457170373,2076,0.213763458333495,-0.286032611314604,0.288723876747008
"E.LB",11421052.6315789,339,0.000401899543508177,0.000143743710048369,190,0.00040185154416215,505,0.000401908397964207,252,0.0358094890649089,0.00891805033314359,0.037644882775749
"E.UB",11421052.6315789,2071,0.00152307872975921,0.000712119187181057,1082,0.00130711416948758,3190,0.00182897891662654,1918,0.0542451676802288,-0.462703441334304,0.431174206453146
"delta.deaths",16631578.9473684,3978,0.0138585874837046,0.00793870125668145,2520,0.0114373564920307,5505,0.0164074509778908,3698,-0.000389356238389864,-0.48384507924639,0.438716620166506
"che.10",16631578.9473684,1275,0.0724327002820527,0.0522463736360507,749,0.0715985415031984,1877,0.0733173236409074,1164,0.090657605413315,-0.243913398411201,0.223556324162772
"che.25",16631578.9473684,1275,0.0724327002820527,0.0522463736360507,749,0.0715985415031984,1877,0.0733173236409074,1164,0.090657605413315,-0.243913398411201,0.223556324162772
"delta.deaths.LB",16631578.9473684,3978,0.0138585874837046,0.00793870125668145,2520,0.0114373564920307,5505,0.0164074509778908,3698,-0.000389356238389864,-0.48384507924639,0.438716620166506
"che.10.LB",16631578.9473684,1275,0.0724327002820527,0.0522463736360507,749,0.0715985415031984,1877,0.0733173236409074,1164,0.090657605413315,-0.243913398411201,0.223556324162772
"delta.deaths.UB",16631578.9473684,3978,0.0138585874837046,0.00793870125668145,2520,0.0114373564920307,5505,0.0164074509778908,3698,-0.000389356238389864,-0.48384507924639,0.438716620166506
"che.10.UB",16631578.9473684,1275,0.0724327002820527,0.0522463736360507,749,0.0715985415031984,1877,0.0733173236409074,1164,0.090657605413315,-0.243913398411201,0.223556324162772
"delta.deaths.npv",16631578.9473684,3978,0.0138585874837046,0.00793870125668145,2520,0.0114373564920307,5505,0.0164074509778908,3698,-0.000389356238389864,-0.48384507924639,0.438716620166506
"E",16631578.9473684,2936,0.0131741586595323,0.00792050032021044,1745,0.0109347898092526,4214,0.0154882150719913,2690,0.234193975766037,-0.364392262042468,0.34896130466837
"E.LB",16631578.9473684,403,0.00482440839833249,0.00165358366996671,262,0.00454042517194575,573,0.00518474435974761,403,0.0770919500349442,0.0142343048284537,0.090228783068343
"E.UB",16631578.9473684,2842,0.00213361141516957,0.000765837597660708,1392,0.00183095655165107,4396,0.00254826334584704,2603,0.0543967383808374,-0.471590837104347,0.51151790930967
"delta.deaths",21842105.2631579,4558,0.0142854154208047,0.00809434573594637,2768,0.0118503392068959,6465,0.0168615876973593,4189,0.0530656809927853,-0.482775382821297,0.484697976539945
"che.10",21842105.2631579,2336,0.0817086306804894,0.0569330676904754,1549,0.0793286200915294,3188,0.0842178132251638,2225,0.115796511244011,-0.29075544867133,0.265107249523567
"che.25",21842105.2631579,2336,0.0817086306804894,0.0569330676904754,1549,0.0793286200915294,3188,0.0842178132251638,2225,0.115796511244011,-0.29075544867133,0.265107249523567
"delta.deaths.LB",21842105.2631579,4532,0.0134139449732427,0.00757505337081977,2793,0.011079945020637,6466,0.0158631772731969,4150,0.0441872162693823,-0.474720723436107,0.496172508261415
"che.10.LB",21842105.2631579,2336,0.0817086306804894,0.0569330676904754,1549,0.0793286200915294,3188,0.0842178132251638,2225,0.115796511244011,-0.29075544867133,0.265107249523567
"delta.deaths.UB",21842105.2631579,4532,0.0134139449732427,0.00757505337081977,2793,0.011079945020637,6466,0.0158631772731969,4150,0.0441872162693823,-0.474720723436107,0.496172508261415
"che.10.UB",21842105.2631579,2336,0.0817086306804894,0.0569330676904754,1549,0.0793286200915294,3188,0.0842178132251638,2225,0.115796511244011,-0.29075544867133,0.265107249523567
"delta.deaths.npv",21842105.2631579,4558,0.0142854154208047,0.00809434573594637,2768,0.0118503392068959,6465,0.0168615876973593,4189,0.0530656809927853,-0.482775382821297,0.484697976539945
"E",21842105.2631579,1546,0.00525089150954815,0.0018046177727317,839,0.00496207746380402,2379,0.00561525238244556,1430,0.252340832216537,-0.229493510687679,0.30827251844095
"E.LB",21842105.2631579,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",21842105.2631579,3458,0.00538359971503991,0.00349905212682823,1805,0.00448802252576195,5300,0.00633584387433976,3167,-0.0446444991888148,-0.662769494841978,0.553311599734394
"delta.deaths",27052631.5789474,4884,0.0165019532803213,0.0093804676370258,2905,0.0137764743815335,6974,0.0194316267053066,4486,0.101946790799395,-0.623258210694725,0.550314565247044
"che.10",27052631.5789474,2985,0.0843997287732175,0.0582193793903014,1798,0.081634455243582,4235,0.0873718355849685,2874,0.0751799889522146,-0.3591687275789,0.329474831531594
"che.25",27052631.5789474,2789,0.0839473416198169,0.058230529967666,1735,0.0812643451974303,3969,0.086834825561137,2631,0.132980661080584,-0.336619721536916,0.335716232783586
"delta.deaths.LB",27052631.5789474,4871,0.0142882128647828,0.00809490618167634,2919,0.0118519082222581,6972,0.0168672832429254,4428,0.0937144294327357,-0.613451579457679,0.577580266003156
"che.10.LB",27052631.5789474,2985,0.0843997287732175,0.0582193793903014,1798,0.081634455243582,4235,0.0873718355849685,2874,0.0751799889522146,-0.3591687275789,0.329474831531594
"delta.deaths.UB",27052631.5789474,4884,0.0165019532803213,0.0093804676370258,2905,0.0137764743815335,6974,0.0194316267053066,4486,0.101946790799395,-0.623258210694725,0.550314565247044
"che.10.UB",27052631.5789474,2353,0.0703892165172257,0.0520454888660933,1647,0.053991160806191,3160,0.0910770752746533,2302,0.148444931345735,-0.322356938059695,0.293315704406388
"delta.deaths.npv",27052631.5789474,4884,0.0165019532803213,0.0093804676370258,2905,0.0137764743815335,6974,0.0194316267053066,4486,0.101946790799395,-0.623258210694725,0.550314565247044
"E",27052631.5789474,2873,0.017102126086514,0.00904289080320943,1833,0.0146936618483139,4009,0.0196218801339845,2706,0.293455672607664,-0.306045656200285,0.352789935442053
"E.LB",27052631.5789474,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",27052631.5789474,4049,0.013491877005018,0.00664740213366287,2252,0.0113633825647067,5913,0.0158785112593688,3810,-0.00506379006212844,-0.623723051825643,0.596903365485556
"delta.deaths",32263157.8947368,5123,0.0166392515263834,0.00938055218098672,3051,0.0139135199137974,7358,0.019569124162314,4679,0.000270909713094271,-0.745438301625938,0.625580154292391
"che.10",32263157.8947368,3424,0.0848016493818242,0.058363123126662,2059,0.0820363206757055,4901,0.0877739642589766,3182,0.106642598168947,-0.364355321106001,0.411888819516563
"che.25",32263157.8947368,3084,0.084399749838316,0.0582193794166137,1870,0.0816344691315433,4396,0.0873720558610124,2929,0.0708331091040382,-0.373273371439144,0.374243936740814
"delta.deaths.LB",32263157.8947368,5123,0.0166392515263834,0.00938055218098672,3051,0.0139135199137974,7358,0.019569124162314,4679,0.000270909713094271,-0.745438301625938,0.625580154292391
"che.10.LB",32263157.8947368,3424,0.0848016493818242,0.058363123126662,2059,0.0820363206757055,4901,0.0877739642589766,3182,0.106642598168947,-0.364355321106001,0.411888819516563
"delta.deaths.UB",32263157.8947368,5123,0.0166392515263834,0.00938055218098672,3051,0.0139135199137974,7358,0.019569124162314,4679,0.000270909713094271,-0.745438301625938,0.625580154292391
"che.10.UB",32263157.8947368,2795,0.0737431940458106,0.0539411182832391,1893,0.0569454270824238,3827,0.0949125725794518,2668,0.143671032445289,-0.409228717969756,0.39304814503061
"delta.deaths.npv",32263157.8947368,5123,0.0166392515263834,0.00938055218098672,3051,0.0139135199137974,7358,0.019569124162314,4679,0.000270909713094271,-0.745438301625938,0.625580154292391
"E",32263157.8947368,3339,0.0179985670578648,0.00957408399017715,2007,0.0154752149811984,4786,0.0206729594317389,3093,0.311285925800981,-0.350157957214014,0.439190087736713
"E.LB",32263157.8947368,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",32263157.8947368,5123,0.0166392515263834,0.00938055218098672,3051,0.0139135199137974,7358,0.019569124162314,4679,0.000270909713094271,-0.745438301625938,0.625580154292391
"delta.deaths",37473684.2105263,5143,0.0169070347346,0.00948835888383928,3058,0.0141748067509724,7397,0.0198426726798268,4700,0.00249030223956066,-0.759313942169686,0.642108971264365
"che.10",37473684.2105263,1264,0.129812445252421,0.0964380274356376,884,0.114880229526791,1734,0.148973263267243,1185,0.0845440916538334,-0.225717052300453,0.24012866977636
"che.25",37473684.2105263,1264,0.129812445252421,0.0964380274356376,884,0.114880229526791,1734,0.148973263267243,1185,0.0845440916538334,-0.225717052300453,0.24012866977636
"delta.deaths.LB",37473684.2105263,5060,0.0191098448842357,0.00974792943222537,3101,0.0163907782668029,7199,0.0220465523331507,4647,0.125810751179553,-0.482645721853088,0.619695864817508
"che.10.LB",37473684.2105263,1264,0.129812445252421,0.0964380274356376,884,0.114880229526791,1734,0.148973263267243,1185,0.0845440916538334,-0.225717052300453,0.24012866977636
"delta.deaths.UB",37473684.2105263,5143,0.0169070347346,0.00948835888383928,3058,0.0141748067509724,7397,0.0198426726798268,4700,0.00249030223956066,-0.759313942169686,0.642108971264365
"che.10.UB",37473684.2105263,1264,0.129812445252421,0.0964380274356376,884,0.114880229526791,1734,0.148973263267243,1185,0.0845440916538334,-0.225717052300453,0.24012866977636
"delta.deaths.npv",37473684.2105263,5143,0.0169070347346,0.00948835888383928,3058,0.0141748067509724,7397,0.0198426726798268,4700,0.00249030223956066,-0.759313942169686,0.642108971264365
"E",37473684.2105263,4049,0.0202469919409604,0.0108596655076439,2526,0.0174298980477176,5715,0.0232778327255801,3650,0.322218343426215,-0.412681271444938,0.47407307440806
"E.LB",37473684.2105263,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",37473684.2105263,4677,0.0190779578606567,0.00974846981583808,2720,0.0163622303749214,6780,0.0220117180472569,4387,0.16375944336093,-0.560605235495592,0.65042946685326
"delta.deaths",42684210.5263158,5314,0.0192498773789803,0.00974857434297941,3185,0.0165293511505453,7605,0.0221890845075927,4915,0.0778242580777314,-0.69318807783995,0.653536427698406
"che.10",42684210.5263158,2614,0.139738468481331,0.101567934114555,1772,0.123227907701153,3557,0.160525772761019,2503,0.135081847074201,-0.366439846984865,0.359347795417193
"che.25",42684210.5263158,2614,0.139738468481331,0.101567934114555,1772,0.123227907701153,3557,0.160525772761019,2503,0.135081847074201,-0.366439846984865,0.359347795417193
"delta.deaths.LB",42684210.5263158,5261,0.0204548912310919,0.0105147589418659,3192,0.0175465053672203,7548,0.0236179606408919,4850,0.170160276110937,-0.600969246481081,0.652017880036857
"che.10.LB",42684210.5263158,2614,0.139738468481331,0.101567934114555,1772,0.123227907701153,3557,0.160525772761019,2503,0.135081847074201,-0.366439846984865,0.359347795417193
"delta.deaths.UB",42684210.5263158,5308,0.0210832142684572,0.0109512416141864,3176,0.0181458918455594,7607,0.0242469095250742,4865,0.177891365838233,-0.606105509146307,0.67417641694021
"che.10.UB",42684210.5263158,2587,0.139712933486437,0.101559968315941,1762,0.12313966503022,3478,0.160623371986919,2476,0.140726427668111,-0.356766329857981,0.366318474527445
"delta.deaths.npv",42684210.5263158,5314,0.0192498773789803,0.00974857434297941,3185,0.0165293511505453,7605,0.0221890845075927,4915,0.0778242580777314,-0.69318807783995,0.653536427698406
"E",42684210.5263158,4069,0.0205147751491771,0.0109674722104964,2533,0.0176911848848925,5753,0.0235513812430928,3670,0.324437735952681,-0.426556911988685,0.490601891380034
"E.LB",42684210.5263158,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",42684210.5263158,4557,0.0185849888735394,0.00839176132136251,2586,0.0161630720034671,6666,0.0213353382092397,4318,0.0631840745268362,-0.636185304704282,0.691297506028043
"delta.deaths",47894736.8421053,5526,0.0214636599247159,0.0110341358509534,3313,0.0184539450857432,7931,0.0247538685220617,5082,0.0773628597480385,-0.731203996797484,0.715808937360734
"che.10",47894736.8421053,3342,0.142672735049354,0.1029370555335,2083,0.125704764449087,4706,0.164049476936847,3231,0.0912658199303347,-0.451876166472643,0.434851414009616
"che.25",47894736.8421053,3342,0.142672735049354,0.1029370555335,2083,0.125704764449087,4706,0.164049476936847,3231,0.0912658199303347,-0.451876166472643,0.434851414009616
"delta.deaths.LB",47894736.8421053,5526,0.0214636599247159,0.0110341358509534,3313,0.0184539450857432,7931,0.0247538685220617,5082,0.0773628597480385,-0.731203996797484,0.715808937360734
"che.10.LB",47894736.8421053,3342,0.142672735049354,0.1029370555335,2083,0.125704764449087,4706,0.164049476936847,3231,0.0912658199303347,-0.451876166472643,0.434851414009616
"delta.deaths.UB",47894736.8421053,5526,0.0214636599247159,0.0110341358509534,3313,0.0184539450857432,7931,0.0247538685220617,5082,0.0773628597480385,-0.731203996797484,0.715808937360734
"che.10.UB",47894736.8421053,3342,0.142672735049354,0.1029370555335,2083,0.125704764449087,4706,0.164049476936847,3231,0.0912658199303347,-0.451876166472643,0.434851414009616
"delta.deaths.npv",47894736.8421053,5526,0.0214636599247159,0.0110341358509534,3313,0.0184539450857432,7931,0.0247538685220617,5082,0.0773628597480385,-0.731203996797484,0.715808937360734
"E",47894736.8421053,4069,0.0205147751491771,0.0109674722104964,2533,0.0176911848848925,5753,0.0235513812430928,3670,0.324437735952681,-0.426556911988685,0.490601891380034
"E.LB",47894736.8421053,742,0.00522630794184067,0.00179732738001508,452,0.0049422767161079,1077,0.00558665275771182,655,0.112901439099853,0.0231523551615973,0.127873665844092
"E.UB",47894736.8421053,5526,0.0214636599247159,0.0110341358509534,3313,0.0184539450857432,7931,0.0247538685220617,5082,0.0773628597480385,-0.731203996797484,0.715808937360734
"delta.deaths",53105263.1578947,5546,0.0217314431329325,0.011141942553806,3320,0.0187152319229182,7969,0.0250274170395744,5103,0.0795822522745049,-0.745079637341232,0.732337754332708
